,label,Count
256,coronavirus_coronavirus_case,1048
828,reports_case_coronavirus_death,60
192,confirms_case_coronavirus,46
827,reports_case_coronavirus,36
325,coronavirus_market,34
776,race_vaccine_coronavirus,33
346,coronavirus_pinch_holiday,29
321,coronavirus_lockdown,28
387,coronavirus_transmission_glance,26
103,canceled_fear_coronavirus_concern,25
167,closes_school_coronavirus,25
1182,urges_people_coronavirus_scare,23
196,confirms_case_coronavirus_governor,23
266,coronavirus_coronavirus_update_look,23
362,coronavirus_restriction_lockdown,22
1069,test_immunity_coronavirus_antibody,20
363,coronavirus_restriction_patient,20
293,coronavirus_event_sport,19
479,dies_victim_coronavirus_doctor,19
1070,test_people_coronavirus,19
257,coronavirus_coronavirus_cure,19
656,looms_disinformation_coronavirus_misinformation,19
430,declares_emergency_coronavirus,19
1116,tests_test_coronavirus,18
338,coronavirus_nightmare_prayer,18
232,coronavirus_briefing_lockdown,18
258,coronavirus_coronavirus_disinfectant,17
557,got_case_coronavirus_jail,17
1054,system_result_coronavirus_state,17
1031,surges_case_coronavirus,17
394,coronavirus_ward_hospital,17
283,coronavirus_economy,17
850,researchers_coronavirus_drug,17
261,coronavirus_coronavirus_player,17
920,says_risk_coronavirus_airline,17
125,cases_case_coronavirus,16
836,reports_death_coronavirus,16
782,reaches_112_coronavirus_death,16
876,rises_coronavirus_death,16
384,coronavirus_thing_home_care,15
279,coronavirus_development_nrl,15
223,coronavirus_adeboye_news,15
540,find_test_coronavirus_testing,15
499,enforce_measure_coronavirus_government,15
604,impose_lockdown_coronavirus,15
148,changing_disruption_coronavirus_business,15
519,extends_lockdown_coronavirus,15
709,passes_bill_coronavirus_relief,15
830,reports_case_coronavirus_hour,15
181,confirmed_case_coronavirus,14
799,recovered_recovery_coronavirus_case,14
916,says_research_coronavirus_hacker,14
835,reports_coronavirus_region,14
329,coronavirus_message_people,14
738,postponed_anniversary_coronavirus_fear,14
395,coronavirus_weekend_panic,14
229,coronavirus_authoritarianism_opinion,13
921,says_test_coronavirus,13
262,coronavirus_coronavirus_quarantine,13
572,help_recovery_coronavirus_firm,13
844,reports_loss_case_coronavirus,13
434,declares_emergency_health,13
1066,terrifies_coronavirus_awareness,13
184,confirmed_coronavirus_case,13
991,spread_positive_coronavirus_protest,13
927,says_website_coronavirus_self,13
152,claims_hunch_coronavirus_expert,13
161,closes_border_coronavirus,13
351,coronavirus_positive_ship_cruise,13
210,confirms_death_coronavirus,13
728,plunge_sell_market_coronavirus,12
271,coronavirus_dad_librarian,12
1094,tests_negative_coronavirus_doctor,12
160,closed_facility_coronavirus_tourist,12
253,coronavirus_closure_school,12
989,spread_coronavirus_dog_cat,12
686,number_coronavirus,12
127,cases_case_coronavirus_morning,12
389,coronavirus_update_case,12
1142,treated_limit_coronavirus_patient,12
832,reports_case_coronavirus_state,12
286,coronavirus_emergency_health,12
641,leads_price_coronavirus_pandemic,12
441,denies_case_coronavirus_death,12
45,approves_test_coronavirus,12
1189,voted_hotspot_coronavirus_case,12
787,reaches_official_death_coronavirus,12
1200,warned_misinformation_coronavirus_report,12
555,goes_disinformation_coronavirus_search,12
623,kits_test_coronavirus,12
1107,tests_positive_coronavirus_symptom,11
318,coronavirus_life_outbreak,11
525,faces_threat_coronavirus_shortage,11
250,coronavirus_chains_effect,11
41,appeal_coronavirus_pm,11
485,distancing_spread_coronavirus,11
509,expands_change_airport_coronavirus,11
1206,warns_messaging_coronavirus_death,11
228,coronavirus_appearance_official,11
919,says_return_coronavirus_job,11
1111,tests_positive_owner_knick,11
707,"pass_20,000_coronavirus_death",11
952,seriously_outbreak_coronavirus_map,11
327,coronavirus_mass_church,11
359,coronavirus_report_apocalypse,11
1133,timing_growth_coronavirus_stock,11
1146,trickling_job_coronavirus_state,11
85,buddy_positive_dog_coronavirus,11
453,diagnosed_coronavirus_student,11
416,deal_deal_coronavirus_package,11
386,coronavirus_transfusions_plasma,11
1225,worried_shot_coronavirus_flu,10
976,speak_negros_coronavirus_racism,10
838,reports_death_coronavirus_doctor,10
634,launches_alert_coronavirus_search,10
715,pence_member_coronavirus_fight,10
608,india_outbreak_coronavirus_cardboard,10
711,passes_trial_vaccine_coronavirus,10
743,postponed_match_coronavirus_force,10
630,latest_coronavirus_spread,10
1007,stocks_check_coronavirus_stock,10
879,rises_life_coronavirus_death,10
628,latest_cases_death_case,10
860,rise_candle_coronavirus_case,10
247,coronavirus_case_scientist,10
1185,vaccine_vaccine_coronavirus,10
397,coronavirus_world,10
221,"coronavirus_6,000_case",10
664,mandalay_rule_coronavirus_travel,10
97,came_infections_coronavirus_case,10
281,coronavirus_discharge_patient,10
393,coronavirus_ventilator,10
285,coronavirus_elite_epicentre,10
288,coronavirus_employment_pandemic,10
37,answered_question_coronavirus,10
356,coronavirus_rally_scare,10
1101,tests_positive_coronavirus_exposure,10
251,coronavirus_child,10
477,dies_rate_coronavirus_worker,10
1126,think_misinformation_coronavirus_beer,10
225,coronavirus_advisory_outbreak,9
162,closes_border_coronavirus_rail,9
158,close_business_coronavirus_school,9
349,coronavirus_population_pandemic,9
183,confirmed_coronavirus_60,9
902,says_coronavirus_patient,9
368,coronavirus_season_cruise_passenger,9
744,postponed_tour_coronavirus_concern,9
801,recovers_coronavirus_patient,9
340,coronavirus_outbreak_sign,9
893,says_case_coronavirus_official,9
172,colouring_campaign_coronavirus_handling,9
889,says_6mln_coronavirus_people,9
175,communities_measures_coronavirus_death,9
1018,suburbs_coronavirus_cluster,9
1046,suspends_flight_coronavirus_disease,9
339,coronavirus_orphanage_prevention,9
209,confirms_coronavirus_daughter,9
515,extend_measure_coronavirus_case,9
326,coronavirus_mask_pandemic,9
854,resume_flight_coronavirus_airline,9
274,coronavirus_deadline_subway,9
431,declares_emergency_coronavirus_health,9
566,halts_warranty_coronavirus_day,9
568,handles_shopper_coronavirus_staff,9
646,life_lockdown_coronavirus,9
847,reports_spike_case_coronavirus,9
291,coronavirus_epidemic_case,9
38,anxiety_symptom_coronavirus,9
28,announces_death_case_coronavirus,9
310,coronavirus_help_update_evening,9
627,know_world_coronavirus_virus,9
587,hospital_coronavirus_field,9
304,coronavirus_growth_economy_outbreak,9
419,death_help_coronavirus_returnee,9
8,admitted_symptom_coronavirus_hospital,9
5,adds_symptom_coronavirus,9
469,dies_covid_person_coronavirus,9
560,grow_coronavirus_scientist_lab,9
867,rise_stimulus_coronavirus_case,9
1104,tests_positive_coronavirus_officer,9
710,passes_package_coronavirus_stimulus,9
872,rises_37_coronavirus_death,9
1080,tested_waivers_coronavirus_student,9
911,says_national_coronavirus_quarantine,9
110,cancels_flight_coronavirus_outbreak,9
264,coronavirus_coronavirus_risk,9
763,protect_mask_coronavirus_face,8
335,coronavirus_movie,8
980,spend_fund_coronavirus_response,8
213,confirms_human_coronavirus_transmission,8
791,ready_stimulus_coronavirus_temper,8
337,coronavirus_news_wrap,8
790,ready_breakthrough_coronavirus_vaccine,8
908,says_infection_coronavirus_cure,8
601,ignored_coronavirus_time,8
269,coronavirus_crisis_celebrity,8
978,speaks_crisis_coronavirus_bra,8
934,seek_hand_coronavirus_govts,8
938,seeks_sanction_coronavirus_case,8
964,signs_bill_coronavirus_spending,8
317,coronavirus_kit_self,8
246,coronavirus_case_region,8
1002,stay_way_coronavirus_message,8
218,"coronavirus_100,000_pandemic",8
950,sends_jitters_coronavirus_hospital,8
478,dies_response_coronavirus_father,8
446,detected_point_coronavirus_patient,8
965,signs_package_coronavirus_emergency,8
833,reports_case_coronavirus_tally,8
721,photos_people_coronavirus_lung,8
745,postponed_trial_coronavirus_threat,8
385,coronavirus_thrombus_case,8
1143,trend_drop_coronavirus_case,8
1140,transmit_coronavirus_risk,8
81,breakthrough_death_coronavirus_steroid,8
86,builds_awareness_coronavirus,8
684,newsletter_hospitalizations_coronavirus_outbreak,8
1130,timeline_outbreak_coronavirus,8
1129,tightens_rule_coronavirus_crisis,8
94,calls_klopp_coronavirus_chief,8
1149,trump_lab_coronavirus_report,8
693,opens_coronavirus_day,8
100,canceled_coronavirus_twitchcon,8
107,cancels_convention_coronavirus_spike,8
704,panic_verdict_coronavirus_outbreak,8
825,reported_news_coronavirus_case,8
823,reported_case_coronavirus,8
114,cancels_sxsw_coronavirus_fear,8
550,gather_stay_coronavirus_hundred,8
1150,trust_testing_coronavirus_evidence,8
117,case_bullet_coronavirus_day,8
32,announces_million_coronavirus_stock,8
606,increased_test_coronavirus_testing,8
613,invest_portfolio_coronavirus_investing,8
621,kept_coronavirus_isolation,8
18,allowed_lockdown_coronavirus_week,8
1213,ways_coronavirus_doctor,8
1212,watch_update_governor_coronavirus,8
637,launches_service_coronavirus_government,8
405,create_shortage_fear_coronavirus,8
1151,tumble_demand_stock_coronavirus,8
39,apologizes_check_coronavirus_cash,8
40,apologizes_coronavirus_doctor_question,8
1172,updates_coverage_coronavirus_pandemic,8
1171,updates_beaches_coronavirus_pandemic,8
573,help_spread_coronavirus_lung,8
569,heightened_awareness_scam_coronavirus,8
57,awaits_inhabitants_coronavirus_government,8
115,cancels_tour_coronavirus_birthday,8
454,"died_40,000_coronavirus_case",8
118,case_case_coronavirus,8
1064,tells_china_coronavirus_outbreak,8
816,report_app_coronavirus,8
494,east_republic_coronavirus_story,8
194,confirms_case_coronavirus_death,8
1023,suggests_infection_coronavirus_case,8
1027,surge_rate_coronavirus_case,8
888,"says_51,000_death_coronavirus",8
180,confirmed_amvca_case_isolation,8
1035,"surpassed_2,000_coronavirus_death",8
1039,suspend_cruise_coronavirus_month,8
729,plunge_toll_coronavirus_export,8
369,coronavirus_self_victim,8
722,pizzeria_customer_coronavirus_dining,8
923,says_testing_coronavirus_test,8
1060,talk_time_child_coronavirus,8
365,coronavirus_run_pace,8
147,celebrities_coronavirus_celebrity,8
120,case_case_coronavirus_health,8
134,cases_coronavirus_ph,8
136,cases_record_case_death,8
1087,tests_coronavirus_test,8
1100,tests_positive_coronavirus_breaking,8
428,declares_curfew_coronavirus_lockdown,8
869,"rises_1,769_coronavirus_death",8
522,facebook_misinformation_coronavirus_virus,8
142,cause_pressure_coronavirus_blood,8
119,case_case_coronavirus_1st,8
1082,testing_kit_coronavirus_detection,8
837,reports_death_coronavirus_case,7
357,coronavirus_recession_economy,7
903,says_counterattack_coronavirus_trump,7
407,creates_spread_pandemic_coronavirus,7
312,coronavirus_hotel_quarantine,7
840,reports_death_coronavirus_person,7
807,regulator_coronavirus_fishery,7
344,coronavirus_passenger_mask,7
360,coronavirus_response_thing,7
421,deaths_death_coronavirus,7
399,coronavirus_wuhan_death,7
422,deaths_death_coronavirus_week,7
846,reports_rise_coronavirus_death,7
336,coronavirus_name_victim,7
805,refuses_offer_coronavirus_conspiracy,7
856,returns_boost_company_coronavirus,7
917,says_response_whos_curve,7
883,robots_coronavirus_robot,7
852,responds_fear_coronavirus_concern,7
331,coronavirus_migrant_immigrant_ice,7
795,records_death_coronavirus_patient,7
882,risks_vaccine_coronavirus,7
328,coronavirus_measure_death,7
447,developed_vaccine_coronavirus_scientist,7
432,declares_emergency_coronavirus_pandemic,7
388,coronavirus_uk_travel_ban,7
861,rise_case_coronavirus,7
300,coronavirus_gap_man,7
303,coronavirus_grip_count,7
166,closes_school_capital_coronavirus,7
126,cases_case_coronavirus_ministry,7
714,peak_china_coronavirus_day,7
1067,test_coffin_coronavirus_inmate,7
518,extends_flight_coronavirus_country,7
156,cleared_death_coronavirus_news,7
725,play_role_woman_parent,7
1050,symptoms_coronavirus_expert,7
508,expand_facilities_coronavirus_quarantine,7
106,cancelled_day_coronavirus_fear,7
1044,suspends_eviction_coronavirus_city,7
174,committee_spread_coronavirus_govt,7
185,confirmed_coronavirus_death,7
734,podcast_podcast_time_houseparty,7
1025,suppress_content_g_coronavirus,7
1014,struggling_detail_coronavirus_misinformation,7
204,confirms_case_coronavirus_police,7
1105,tests_positive_coronavirus_opera,7
694,opens_patient_coronavirus_hospital,7
756,prevent_coronavirus_government,7
651,live_coronavirus_outbreak,7
607,increases_inventory_coronavirus_supply,7
14,aged_coronavirus_woman,7
1210,watch_hall_coronavirus_town,7
25,announced_death_coronavirus,7
1201,warns_australians_coronavirus_lockdown,7
42,"approach_30,000_coronavirus_case",7
578,hits_home_nursing_coronavirus,7
655,look_office_coronavirus_pandemic,7
95,calls_staff_coronavirus_panic,7
63,bans_outbreak_coronavirus_people,7
671,mission_bill_coronavirus_trump,7
1145,trials_coronavirus_chloroquine,7
1134,tips_coronavirus_mind,7
678,needs_bed_coronavirus_hospital,7
1132,timeline_update_coronavirus_crisis,7
544,flee_hospital_coronavirus,7
206,confirms_case_coronavirus_school,7
505,exceed_million_coronavirus_case,7
789,reading_story_coronavirus_family,7
268,coronavirus_covid_food,7
263,coronavirus_coronavirus_remdesivir_emergency,7
979,speaks_official_coronavirus_ministry,7
242,coronavirus_case_emergency,7
240,coronavirus_care_immigrant,7
294,coronavirus_exercise_case_week,7
296,coronavirus_facility_quarantine,7
985,spread_case_person_coronavirus,7
986,spread_coronavirus_air,7
987,spread_coronavirus_bathroom,7
231,coronavirus_birth_woman,7
290,coronavirus_english_announce,7
993,spreads_fear_coronavirus_contagion,7
995,stallone_production_coronavirus_pandemic,7
222,coronavirus_7_parent,7
458,dies_coronavirus,7
468,dies_country_coronavirus,7
786,reaches_deal_coronavirus_bill,7
220,coronavirus_300_face,7
467,dies_coronavirus_wrestler,7
1005,stock_rally_coronavirus_%,7
466,dies_coronavirus_woman,7
645,letting_blood_coronavirus_politician,6
794,records_case_coronavirus_province,6
461,dies_coronavirus_news,6
829,reports_case_coronavirus_hospital,6
565,halts_expansion_coronavirus_wave,6
754,preparing_cut_coronavirus_game,6
642,learn_limit_coronavirus_crisis,6
576,helps_cold_coronavirus_allergy,6
644,lessons_gravity_coronavirus_outbreak,6
793,records_case_coronavirus_13th,6
551,gets_boost_coronavirus_fear,6
792,records_case_coronavirus,6
585,holds_meeting_coronavirus_mathura,6
622,kills_victim_coronavirus_staffer,6
617,joined_battle_coronavirus_force,6
594,hospitalized_president_wife,6
457,dies_ambassador_leader_aide,6
597,human_person_coronavirus,6
552,gets_drug_coronavirus_world,6
701,paintings_awareness_coronavirus_theme,6
785,reaches_case_coronavirus_toll,6
511,explainer_coronavirus_guide,6
814,removes_coronavirus_misinformation,6
758,production_production_coronavirus_concern,6
496,emerges_coronavirus_science,6
821,report_scare_year_virus,6
737,positive_doctor_woman_coronavirus,6
502,evacuate_australians_coronavirus_scam,6
504,exceed_authority_coronavirus_case,6
