,label,Count
26,coronavirus_coronavirus_pandemic,1846
19,coronavirus_coronavirus_case,469
16,coronavirus_case,424
18,coronavirus_case_outbreak,376
61,reports_case_coronavirus_death,336
81,tests_test_coronavirus,298
25,coronavirus_coronavirus_outbreak,262
60,reports_case_coronavirus,226
17,coronavirus_case_death,214
27,coronavirus_coronavirus_player,204
68,says_coronavirus_trump,182
8,confirmed_case_coronavirus,131
69,says_test_coronavirus,122
5,canceled_fear_coronavirus,118
89,working_vaccine_coronavirus,100
62,reports_coronavirus_case,96
10,confirms_case_coronavirus_death,95
9,confirms_case_coronavirus,78
44,coronavirus_ship_cruise,77
74,suspends_flight_coronavirus,73
23,coronavirus_coronavirus_fact,73
31,coronavirus_death,70
57,plunge_impact_coronavirus_stock,69
6,cases_case_coronavirus_wrestler,66
36,coronavirus_lockdown,65
78,tests_coronavirus_wife,63
75,symptoms_coronavirus_symptom,62
37,coronavirus_mask,62
64,reports_death_coronavirus_doctor,61
54,facebook_misinformation_coronavirus,61
59,recover_coronavirus_death,60
15,coronavirus_campaign_pandemic,60
20,coronavirus_coronavirus_child,59
22,coronavirus_coronavirus_drug,58
28,coronavirus_coronavirus_prison,57
32,coronavirus_doctor_hospital,55
7,closes_app_coronavirus_production,54
48,declares_emergency_coronavirus_health,52
0,admitted_symptom_coronavirus_hospital,51
65,rise_case_coronavirus,47
14,coronavirus_business,46
34,coronavirus_impact_economy,46
45,coronavirus_tourist_travel,46
30,coronavirus_coronavirus_ventilator,44
2,block_package_coronavirus_stimulus,44
85,urges_people_coronavirus_scare,43
24,coronavirus_coronavirus_home,42
29,coronavirus_coronavirus_racism,40
42,coronavirus_school,38
51,dies_life_coronavirus_contracting,35
41,coronavirus_risk_flight,35
4,buddy_coronavirus_dog,35
53,extend_lockdown_coronavirus,34
82,things_guide_coronavirus_today,32
46,coronavirus_weekend_panic,32
70,says_threat_coronavirus_case,31
76,tests_case_coronavirus,31
3,brace_plan_coronavirus_home,31
72,stay_protest_coronavirus_home,30
12,coronavirus_appearance_student,30
73,stock_%_coronavirus,30
77,tests_coronavirus_death,30
11,confirms_person_coronavirus,29
35,coronavirus_limit_patient,29
33,coronavirus_fear_anxiety,28
86,vote_kit_coronavirus_case,28
52,expands_screening_coronavirus_airport,28
88,ways_coronavirus_lockdown,27
47,declares_emergency_coronavirus,26
84,updates_case_coronavirus_death,24
50,dies_coronavirus_woman,24
43,coronavirus_sex_wedding,24
63,reports_death_coronavirus_case,23
71,signs_package_coronavirus_emergency,23
87,warns_factory_coronavirus_concern,22
66,"rises_20,000_coronavirus_death",22
38,coronavirus_package_death,22
21,coronavirus_coronavirus_church,22
55,issue_malware_coronavirus_scam,22
39,coronavirus_pantry_food,22
79,tests_death_coronavirus_baby,21
83,update_beach_coronavirus_weekend,21
67,says_coronavirus_pandemic,20
40,coronavirus_phone_toilet,20
49,defends_deal_coronavirus_package,20
56,latest_cases_case_death,19
1,americans_state_coronavirus_emergency,19
13,coronavirus_bleach_beer,18
80,tests_positive_coronavirus_report,18
58,proposes_fund_coronavirus,18
