Processed_Title,label_st1,label
"US coronavirus death toll rises to 14, most cases in Washington",1044,rises_37_coronavirus_death
"Iran rejects U.S. offer for coronavirus aid, cites conspiracy theory",576,refuses_offer_coronavirus_conspiracy
TSA is making 3 changes to stop coronavirus from spreading on planes,913,expands_change_airport_coronavirus
NBA Players to Take Pay Cut Amidst Coronavirus Crisis,758,preparing_cut_coronavirus_game
"Coronavirus Cases confirmed in North Korea, say officials",355,coronavirus_exercise_case_week
Mayor Greg Fischer more coronavirus cases than thought,629,coronavirus_case_emergency
Number Of Confirmed Coronavirus Cases In Southern Germany Rises To 4 Health Ministry,232,rises_employee_coronavirus_number
Coronavirus live updates: US President Donald Trump declares coronavirus pandemic a national emergency,257,declares_emergency_coronavirus
South Africa Starts Easing Coronavirus Lockdown,12,extends_lockdown_coronavirus
Coronavirus: Ekiti state government declares 14 day curfew,387,declares_curfew_coronavirus_lockdown
Will Coronavirus Propel This Vaccine Maker's Stock Even Higher ? ,-1,coronavirus_coronavirus_case
House passes bill to help prop up economy from coronavirus,354,passes_bill_coronavirus_relief
"Schools, colleges in HP to not hold mass gatherings amid coronavirus scare",-1,coronavirus_coronavirus_case
Zimbabwe extends coronavirus lockdown again,12,extends_lockdown_coronavirus
"Battling Coronavirus: 5 Unicef guidelines for parents, caregivers and community members",893,coronavirus_child
Coronavirus: Passengers from Asia will be screened Prof. Abayomi,793,screened_abayomi_coronavirus_passenger
Sweden To Evacuate Its Citizens From Coronavirus Hit Hubei Province Foreign Minister,713,coronavirus_restriction_lockdown
Trump has many hunches about the coronavirus. Here's what the experts say.,776,claims_hunch_coronavirus_expert
Annual Music Festival SXSW Canceled Over Coronavirus Fears,733,canceled_fear_coronavirus_concern
Coronavirus Fears Spread: What Are The Market Implications ? ,572,coronavirus_market
Wuhan virus: Britain reports first two cases of coronavirus,562,confirmed_case_coronavirus_virus
APhA Issues Preparedness and Prevention Guidance During Coronavirus Pandemic,-1,coronavirus_coronavirus_case
