Processed_Title,label_st1,label,category
"US coronavirus death toll rises to 14, most cases in Washington",85,reports_case_coronavirus_death,rises_37_coronavirus_death
"Iran rejects U.S. offer for coronavirus aid, cites conspiracy theory",17,recover_coronavirus_death,refuses_offer_coronavirus_conspiracy
TSA is making 3 changes to stop coronavirus from spreading on planes,-1,coronavirus_coronavirus_pandemic,expands_change_airport_coronavirus
NBA Players to Take Pay Cut Amidst Coronavirus Crisis,64,coronavirus_coronavirus_player,preparing_cut_coronavirus_game
"Coronavirus Cases confirmed in North Korea, say officials",21,vote_kit_coronavirus_case,coronavirus_exercise_case_week
Mayor Greg Fischer more coronavirus cases than thought,24,coronavirus_death,coronavirus_case_emergency
Number Of Confirmed Coronavirus Cases In Southern Germany Rises To 4 Health Ministry,2,rise_case_coronavirus,rises_employee_coronavirus_number
Coronavirus live updates: US President Donald Trump declares coronavirus pandemic a national emergency,44,declares_emergency_coronavirus,declares_emergency_coronavirus
South Africa Starts Easing Coronavirus Lockdown,8,coronavirus_case,extends_lockdown_coronavirus
Coronavirus: Ekiti state government declares 14 day curfew,56,suspends_flight_coronavirus,declares_curfew_coronavirus_lockdown
Will Coronavirus Propel This Vaccine Maker's Stock Even Higher ? ,46,stock_%_coronavirus,coronavirus_coronavirus_case
House passes bill to help prop up economy from coronavirus,-1,coronavirus_coronavirus_pandemic,passes_bill_coronavirus_relief
"Schools, colleges in HP to not hold mass gatherings amid coronavirus scare",-1,coronavirus_coronavirus_pandemic,coronavirus_coronavirus_case
Zimbabwe extends coronavirus lockdown again,8,coronavirus_case,extends_lockdown_coronavirus
"Battling Coronavirus: 5 Unicef guidelines for parents, caregivers and community members",80,coronavirus_coronavirus_child,coronavirus_child
Coronavirus: Passengers from Asia will be screened Prof. Abayomi,-1,coronavirus_coronavirus_pandemic,screened_abayomi_coronavirus_passenger
Sweden To Evacuate Its Citizens From Coronavirus Hit Hubei Province Foreign Minister,41,coronavirus_case_outbreak,coronavirus_restriction_lockdown
Trump has many hunches about the coronavirus. Here's what the experts say.,69,says_coronavirus_trump,claims_hunch_coronavirus_expert
Annual Music Festival SXSW Canceled Over Coronavirus Fears,65,canceled_fear_coronavirus,canceled_fear_coronavirus_concern
Coronavirus Fears Spread: What Are The Market Implications ? ,51,plunge_impact_coronavirus_stock,coronavirus_market
Wuhan virus: Britain reports first two cases of coronavirus,41,coronavirus_case_outbreak,confirmed_case_coronavirus_virus
APhA Issues Preparedness and Prevention Guidance During Coronavirus Pandemic,-1,coronavirus_coronavirus_pandemic,coronavirus_coronavirus_case
Sex and coronavirus: What you need to know,23,coronavirus_sex_wedding,coronavirus_coronavirus_case
Women Can Play Vital Role In Securing Their Families From Coronavirus: Experts,80,coronavirus_coronavirus_child,play_role_woman_parent
India's Tata Motors warns of JLR profit hit due to coronavirus,39,warns_factory_coronavirus_concern,coronavirus_coronavirus_case
SMU Athletes Must Sign Coronavirus Waivers,64,coronavirus_coronavirus_player,tested_waivers_coronavirus_student
Coronavirus death toll mounts to 145 in Iran,-1,coronavirus_coronavirus_pandemic,reaches_official_death_coronavirus
Caution needed to ensure coronavirus supports are fair,-1,coronavirus_coronavirus_pandemic,needed_support_coronavirus_caution
Anthony Yarde's father dies with coronavirus,-1,coronavirus_coronavirus_pandemic,dies_response_coronavirus_father
